1|1|1.00|1
2|2|1.00|1
3|3|1.00|1
4|4|1.00|1
5|5|1.00|1
6|6|1.00|1
7|7|1.00|1
8|8|1.00|1
9|9|1.00|1
10|10|1.00|1
11|1|1.00|2
12|2|1.00|2
13|3|1.00|2
14|4|1.00|2
15|5|1.20|2
16|6|1.20|2
17|7|1.20|2
18|8|1.20|2
19|9|1.40|2
20|10|2.00|2
21|A1|1.00|3
22|A2|1.00|3
23|A3|1.00|3
24|A4|1.00|3
25|A5|1.00|3
26|B1|1.50|3
27|B2|1.50|3
28|B3|1.50|3
29|B4|1.50|3
30|B5|1.50|3
31|A1|1.00|4
32|A2|1.00|4
33|A3|1.00|4
34|A4|1.00|4
35|B1|1.00|4
36|B2|1.00|4
37|B3|1.00|4
38|B4|1.00|4
39|C1|1.00|4
40|C2|1.00|4
41|001|2.00|5
42|002|2.00|5
43|003|2.00|5
44|004|2.00|5
45|005|2.00|5
46|006|2.00|5
47|007|2.00|5
48|008|2.00|5
49|009|2.00|5
50|010|1.75|5
51|111|1.75|6
52|112|1.75|6
53|113|1.75|6
54|114|1.75|6
55|115|1.75|6
56|116|1.75|6
57|117|1.75|6
58|118|1.75|6
59|119|1.75|6
60|120|1.75|6
61|A1|1.15|7
62|A2|1.15|7
63|A3|1.15|7
64|A4|1.15|7
65|A5|1.20|7
66|A6|1.20|7
67|A7|1.20|7
68|A8|1.20|7
69|A9|1.20|7
70|A10|1.20|7
71|1|1.25|8
72|2|1.25|8
73|3|1.25|8
74|4|1.25|8
75|5|1.25|8
76|6|1.25|8
77|7|1.25|8
78|8|1.25|8
79|9|1.25|8
80|10|1.25|8
81|A1|3.00|9
82|A2|3.00|9
83|A3|3.00|9
84|B1|1.75|9
85|B2|1.75|9
86|B3|1.75|9
87|C1|1.25|9
88|C2|1.25|9
89|C3|1.25|9
90|D1|1.00|9
91|C1|1.25|10
92|C2|1.25|10
93|C3|1.25|10
94|C4|1.25|10
95|C5|1.25|10
96|C6|1.75|10
97|C7|1.75|10
98|C8|1.75|10
99|C9|1.75|10
100|C10|1.75|10
